Authors,Title,Year,Source title,Link,Document Type,Source
"Kahneman D., Tversky A.","Choices, values, and frames",1984,"American Psychologist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041906967&doi=10.1037%2f0003-066X.39.4.341&partnerID=40&md5=0d204baa91a25e71151c9e88b0fbc67a",Article,Scopus
"Bryman A., Bell E.",[No title available],2003,"Business Research Methods",,,Scopus
"Gerbing D.W., Anderson J.C.","An updated paradigm for scale development incorporating unidimensionality and its assessment",1988,"Journal of Marketing Research",,,Scopus
"Boehm B.W.",[No title available],1981,"Software Engineering Economics",,,Scopus
"Yin R.K.",[No title available],1993,"Applications of Case Study Research",,,Scopus
"Chin W.W.","Issues and opinion on structural equation modeling",1998,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002042337&partnerID=40&md5=4385da2ebfbe717f06324e00e6ab9a99",Review,Scopus
"Hofstede G.","Culture's consequences",1980,"Culture's Consequences",,,Scopus
"Berger J.","Ways of seeing",1972,"Ways of Seeing",,,Scopus
"Macmillan N.A., Creelman C.D.",[No title available],1991,"Detection Theory: A User's Guide",,,Scopus
"Jöreskog K.G., Sörbom D.",[No title available],1989,"LISREL 7: A Guide to the Program and Applications",,,Scopus
"Latour B., Woolgar S.",[No title available],1979,"Laboratory Life: The Social Construction of Scientific Facts",,,Scopus
"Kotter J.P.",[No title available],1996,"Leading Change",,,Scopus
"Simmel G.",[No title available],1950,"The Sociology of Georg Simmel",,,Scopus
"Galbraith J.","Designing complex organizations",1973,"Designing Complex Organizations",,,Scopus
"Langley A.","Strategies for theorizing from process data",1999,"Academy of Management Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033246750&doi=10.5465%2fAMR.1999.2553248&partnerID=40&md5=a526fad497f3a3998bca4439a89948f7",Article,Scopus
"Perrow C.",[No title available],1999,"Normal Accidents: Living with High-Risk Technologies",,,Scopus
"Jarvis C.B., Mackenzie S.B., Podsakoff P.M., Giliatt N., Mee J.F.","A Critical Review of Construct Indicators and Measurement Model Misspecification in Marketing and Consumer Research",2003,"Journal of Consumer Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242424963&doi=10.1086%2f376806&partnerID=40&md5=8005b733484cad52126aa3710b9e00e1",Review,Scopus
"Barclay D., Higgins C., Thompson R.","The partial least squares (PLS) approach to causal modeling: Personal computer adoption and use as an illustration",1995,"Technology Studies",,,Scopus
"Brooks F.P.",[No title available],1995,"The Mythical Man-Month",,,Scopus
"Fowler F.J.",[No title available],1993,"Survey Research Methods",,,Scopus
"Mintzberg H.","The rise and fall of strategic planning",1994,"The Rise and Fall of Strategic Planning",,,Scopus
"Covey S.R.",[No title available],1989,"The Seven Habits of Highly Effective People",,,Scopus
"PMI",[No title available],2004,"A Guide to the Project Management Body of Knowledge",,,Scopus
"Douglas M., Wildavsky A.",[No title available],1983,"Risk and Culture: An Essay on the Selection of Technological and Environmental Dangers",,,Scopus
"Dalkey N., Helmer O.","An experimental application of the Delphi method to the use of experts",1963,"Management Science",,,Scopus
"Diamantopoulos A., Winklhofer H.M.","Index construction with formative indicators: An alternative to scale development",2001,"Journal of Marketing Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035534144&doi=10.1509%2fjmkr.38.2.269.18845&partnerID=40&md5=d980ef5558574770b096a3510be455a5",Article,Scopus
"Hatcher L.",[No title available],1994,"A Step-by-Step Approach to Using the SAS System for Factor Analysis and Structural Equation Modeling",,,Scopus
"Simon H.A.","Models of man",1957,"Models of Man",,,Scopus
"Peters T., Waterman R.",[No title available],2004,"In Search of Excellence",,,Scopus
"Weick K.E., Roberts K.H.","Collective mind in organizations: Heedful interrelating on flight decks",1993,"Administrative Science Quarterly",,,Scopus
"Tversky A., Kahneman D.","Rational choice and the framing of decisions",1986,"Journal of Business",,,Scopus
"Zaheer A., McEvily B., Perrone V.","Does Trust Matter? Exploring the Effects of Interorganizational and Interpersonal Trust on Performance",1998,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032391619&doi=10.1287%2forsc.9.2.141&partnerID=40&md5=ef971596863362c3874f9999c8318554",Article,Scopus
"DiMaggio P.J., Powell W.W.","Introduction",1991,"The New Institutionalism in Organizational Analysis",,,Scopus
"Kim J., Mueller C.W.",[No title available],1978,"Factor Analysis: Statistical Methods and Practical Issues",,,Scopus
"Weick K.E., Sutcliffe K.M.",[No title available],2001,"Managing the Unexpected: Assuring High Performance in an Age of Complexity",,,Scopus
"Saaty T.L.",[No title available],1982,"Decision Making for Leaders",,,Scopus
"Tufte E.R.",[No title available],2001,"The Visual Display of Quantitative Information",,,Scopus
"Scott M.B., Lyman S.M.","Accounts.",1968,"American sociological review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014252323&doi=10.2307%2f2092239&partnerID=40&md5=738dc0a512ce33a1d1aa7f91ce40a631",Article,Scopus
"Davenport T.H.","Putting the enterprise into the enterprise system.",1998,"Harvard business review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032112063&partnerID=40&md5=b64bdf6d45fa9436b8fcfe7c1d5ad92d",Article,Scopus
"Vaughan D.",[No title available],1996,"The Challenger Launch Decision: Risky Technology, Culture, and Deviance at NASA",,,Scopus
"Bollen K., Lennox R.","Conventional Wisdom on Measurement: A Structural Equation Perspective",1991,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347973105&doi=10.1037%2f0033-2909.110.2.305&partnerID=40&md5=f08197b7e6149e54bdcf475d7766f116",Article,Scopus
"Pettigrew A.M.","Longitudinal field research on change: Theory and practice",1990,"Organization Science",,,Scopus
"Stake R.E.","Case studies",2000,"Handbook of Qualitative Research",,,Scopus
"Watzlawick P., Weakland J.H., Fisch R.",[No title available],1974,"Change: Principles of Problem Formation and Problem Resolution",,,Scopus
"Dess G.G., Beard D.W.","Dimensions of organizational task environments",1984,"Administrative Science Quarterly",,,Scopus
"Kotter J.P.","Leading change: Why transformation efforts fail",1995,"Harvard Business Review",,,Scopus
"Habermas J.",[No title available],1981,"The Theory of Communicative Action",,,Scopus
"Kerzner H.",[No title available],1995,"Project Management: A Systems Approach to Planning, Scheduling, and Controlling",,,Scopus
"Quine W.V.O.",[No title available],1953,"From a Logical Point of View",,,Scopus
"Arrow K.J.",[No title available],1971,"Essays in the Theory of Risk Bearing",,,Scopus
"Boehm B.W.","A Spiral Model of Software Development and Enhancement",1988,"Computer","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024012763&doi=10.1109%2f2.59&partnerID=40&md5=2419cb8c08d44c56f1ee3d3c896ce8da",Article,Scopus
"Bollen K.A.",[No title available],1989,"Structural Equations with Latent Variables",,,Scopus
"March J.G., Olsen J.P.",[No title available],1976,"Ambiguity and Choice in Organizations",,,Scopus
"Feldman M.S., Pentland B.T.","Reconceptualizing organizational routines as a source of flexibility and change",2003,"Administrative Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0043264403&doi=10.2307%2f3556620&partnerID=40&md5=f149ca91ed2e37232cd736e6ef23b0d5",Review,Scopus
"Woodward J.",[No title available],1965,"Industrial Organization: Theory and Practice",,,Scopus
"Malone T.W., Crowston K.","The Interdisciplinary Study of Coordination",1994,"ACM Computing Surveys (CSUR)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028401441&doi=10.1145%2f174666.174668&partnerID=40&md5=c3419dca6a86cddaa5d64030f9b02ea5",Article,Scopus
"Staw B.M., Sandelands L.E., Dutton J.E.","Threat-rigidity effects in organizational behavior: A multilevel analysis",1981,"Administrative Science Quarterly",,,Scopus
"Kasperson R.E., Renn O., Slovic P., Brown H.S., Emel J., Goble R., Kasperson J.X., Ratick S.","The Social Amplification of Risk: A Conceptual Framework",1988,"Risk Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023818080&doi=10.1111%2fj.1539-6924.1988.tb01168.x&partnerID=40&md5=a5a0997f19465e917e1bba6f6977e084",Article,Scopus
"Kruchten P.","The Rational Unified Process",2000,"The Rational Unified Process: An Introduction",,,Scopus
"Klein G.",[No title available],1998,"Sources of Power: How People Make Decisions",,,Scopus
"Mintzberg H., Raisinghani D., Theoret A.","The structure of unstructured decision processes",1976,"Administrative Science Quarterly",,,Scopus
"Kaplan S., Garrick B.J.","On The Quantitative Definition of Risk",1981,"Risk Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019540987&doi=10.1111%2fj.1539-6924.1981.tb01350.x&partnerID=40&md5=4c24d660f294cbe20aaf399f4f5ce1ed",Article,Scopus
"Jasanoff S.",[No title available],1990,"The Fifth Branch: Science Advisors As Policymakers",,,Scopus
"Duncan R.B.","Characteristics of organizational environments and perceived environmental uncertainty",1972,"Administrative Science Quarterly",,,Scopus
"Hayduk L.A.",[No title available],1987,"Structural Equation Modeling with LISREL: Essentials and Advances",,,Scopus
"Schwaber K., Beedle M.",[No title available],2002,"Agile Software Development with Scrum",,,Scopus
"Gist M.E., Mitchell T.R.","Self-efficacy: A theoretical analysis of its determinants and malleability",1992,"Academy of Management Review",,,Scopus
"Venkatraman N.","The concept of fit in strategy research: Toward verbal and statistical correspondence",1989,"Academy of Management Review",,,Scopus
"March James G., Shapira Zur","MANAGERIAL PERSPECTIVES ON RISK AND RISK TAKING.",1987,"Management Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023456474&doi=10.1287%2fmnsc.33.11.1404&partnerID=40&md5=8ee98fcdec7072aef21fab709d79e7e6",Article,Scopus
"Straub D., Boudreau M.-C., Gefen D.","Validation guidelines for IS positivist research",2004,"Communications of the Association for Information Systems",,,Scopus
"Brooks F.P., Jr.","Essence and Accidents of Software Engineering",1987,"Computer","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023327532&doi=10.1109%2fMC.1987.1663532&partnerID=40&md5=c1efbd4f1f6188b785fbcc446c5dd575",Article,Scopus
"Van de Ven A.H.",[No title available],2007,"Engaged Scholarship: A Guide for Organizational and Social Research",,,Scopus
"Vicente K.J.",[No title available],1999,"Cognitive Work Analysis",,,Scopus
"Bazerman M.H.",[No title available],1994,"Judgment in Managerial Decision Making",,,Scopus
"Greenwood R., Suddaby R., Hinings C.R.","Theorizing change: The role of professional associations in the transformation of institutionalized fields",2002,"Academy of Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036003215&doi=10.2307%2f3069285&partnerID=40&md5=56bb6c513ed6b13dd85d80241b269435",Article,Scopus
"Galbraith J.R.","Organization design",1977,"Organization Design",,,Scopus
"Clemen R.T.",[No title available],1996,"Making Hard Decisions: An Introduction to Decision Analysis",,,Scopus
"Tolbert P.S., Zucker L.G.","Institutional sources of change in the formal structure of organizations: The diffusion of civil service reform, 1880-1935",1983,"Administrative Science Quarterly",,,Scopus
"Sterman J.D.","Modeling managerial behavior: Misperceptions of feedback in a dynamic decision making experiment",1989,"Management Science",,,Scopus
[No author name available],[No title available],2008,"A Guide to the Project Management Body of Knowledge",,,Scopus
"Straub D.W.","Validating instruments in MIS research",1989,"MIS Quarterly: Management Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249123249&doi=10.2307%2f248922&partnerID=40&md5=cff830bd97d23612b45c2c258cf1efa3",Article,Scopus
"Simon H.A.","Theories of decision-making in economics and behavioral science",1959,"American Economic Review",,,Scopus
"Locke E.A., Shaw K.N., Saari L.M., Latham G.P.","Goal setting and task performance: 1969-1980",1981,"Psychological Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248469880&doi=10.1037%2f0033-2909.90.1.125&partnerID=40&md5=6abe90bfc955a928f47c792fd66cc2ef",Article,Scopus
"Lasswell H.D.",[No title available],1936,"Politics: Who Gets What, When, How",,,Scopus
"Bourque P., Dupuis R.",[No title available],2001,"Guide to the Software Engineering Body of Knowledge",,,Scopus
"Walsham G.",[No title available],1993,"Interpreting Information Systems in Organizations",,,Scopus
"Simon H.A.","Rational decision making in business organizations",1979,"American Economic Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986799029&partnerID=40&md5=987060131cf0a841757069f05616e7f2",Article,Scopus
"Humphrey W.S.","Managing the software process",1989,"Managing the Software Process",,,Scopus
[No author name available],[No title available],1994,"World Development Report",,,Scopus
"Weick K.E., Sutcliffe K.M., Obstfeld D.","Organizing for high reliability: Processes of collective mindfulness",1999,"Research in Organizational Behavior",,,Scopus
"Markus M.L.","Power, Politics, and MIS Implementation",1983,"Communications of the ACM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020765012&doi=10.1145%2f358141.358148&partnerID=40&md5=e01888a1628a4cbf8cb827561673183b",Article,Scopus
"Wolcott H.F.","Transforming qualitative data: Description, analysis and interpretation",1994,"Transforming Qualitative Data: Description, Analysis, and Interpretation",,,Scopus
"Tsoukas H., Chia R.","On organizational becoming: Rethinking organizational change",2002,"Organization Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036746466&doi=10.1287%2forsc.13.5.567.7810&partnerID=40&md5=b02afd72bbf34281d8901fd2231b6d33",Article,Scopus
"Barker J.R.","Tightening the iron cage: Concertive control in self-managing teams",1993,"Administrative Science Quarterly",,,Scopus
"Chi M.T.H., Glaser R., Farr M.J.",[No title available],1988,"The Nature of Expertise",,,Scopus
"Tushman M.L., Nadler D.A.","Information processing as an integrating concept in organizational design",1978,"Academy of Management Review",,,Scopus
"Flyvbjerg B., Bruzelius N., Rothengatter W.","Megaprojects and risk: An anatomy of ambition",2014,"Megaprojects and Risk: An Anatomy of Ambition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928355732&doi=10.1017%2fCBO9781107050891&partnerID=40&md5=2c889df4f77869fcbcf4eee83c222008",Book,Scopus
"Gersick C.J.G.","Time and transition in work teams: Toward a new model of group development",1988,"Academy of Management Journal",,,Scopus
"Langer E.J.",[No title available],1989,"Mindfulness",,,Scopus
"Barley S.R., Tolbert P.S.","Institutionalization and structuration: Studying the links between action and institution",1997,"Organization Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039331654&doi=10.1177%2f017084069701800106&partnerID=40&md5=26f76055fb0359f6967a616814856253",Article,Scopus
"Susman G.I., Evered R.D.","An assessment of the scientific merits of action research",1978,"Administrative Science Quarterly",,,Scopus
"Jepperson R.L.","Institutions, institutional effects, and institutionalism",1991,"The New Institutionalism in Organizational Analysis",,,Scopus
"Sarantakos S.",[No title available],1993,"Social Research",,,Scopus
"Shaw M.E.","Group dynamics: The psychology of small group behavior",1981,"Group Dynamics: The Psychology of Small Group Behavior",,,Scopus
"Lohmöller J.-B.",[No title available],1989,"Latent Variable Path Modeling with Partial Least Squares",,,Scopus
